county,Pop2012,Pop2017,Pop85up2012,Pop85up2017,Pop14to172012,Pop14to172017,Pop18to242012,Pop18to242017,Pop65up2012,Pop65up2017,EduLess9th,Edu9to12th,HighSchool,SomeCollege,Associate,Bachelor,Graduate degree,PopPov,VeryPoor,Poor,Unemployment
Jenkins,9117,8774,174,158,491,442,941,842,1290,1448,5.3,16,42.4,20.8,7.2,5,3.2,8852,1900,820,6.3
Johnson,10004,9760,197,255,497,457,796,759,1574,1793,5.7,18.8,43.2,17,5.8,6,3.6,9488,953,1084,11.4
Jones,28619,28453,386,420,1710,1725,2333,2255,3951,4845,3.1,8.6,38.4,21.4,7.7,12.3,8.5,28238,2102,1899,8.7
Lamar,18028,18636,278,308,836,906,2644,2422,2710,3152,3.3,11.2,37.7,21.6,7.9,12.8,5.6,16987,1765,1760,11.4
Lanier,10461,10433,97,122,508,499,980,826,1174,1412,7,13.1,33.3,20.7,10.1,10.6,5.2,10017,1576,1299,10.6
Laurens,47862,47353,941,1048,2642,2689,4219,3802,7266,8187,5.3,10.8,44.3,16.3,7.9,8.4,7.1,46381,6702,5981,5.1
Lee,28709,29443,259,288,1907,1942,2382,2301,2711,3592,2.4,8.7,29,22.3,11.9,15.1,10.6,28191,1313,1968,7.1
Liberty,64415,61745,328,396,3113,2939,9531,8783,4408,5439,2.8,6.3,31.3,30.5,9.6,13.5,6,59949,4770,5161,11.9
Lincoln,7762,7861,117,181,377,365,620,565,1512,1844,5.9,11.1,43.9,19.6,7.4,7.9,4.2,7701,941,832,6
Long,15978,18773,145,201,994,1104,1632,1635,1191,1674,3.9,9.6,30.8,31.1,9,10.1,5.5,17659,1409,2121,17.2
Lowndes,114069,115389,1226,1443,5513,5600,21832,19690,11523,13879,4.5,11.2,29.4,21,8.8,14.9,10.3,109857,15218,12192,9.2
Lumpkin,30710,32822,360,479,1422,1362,5546,6312,4369,5533,5.7,11,28.9,21.2,6.5,15,11.6,30161,2597,3455,6
McDuffie,21628,21497,333,333,1157,1245,1861,1714,3182,3692,5,13.9,39.6,18.9,7.4,9.7,5.6,21177,2124,3379,8.1
McIntosh,13882,14102,241,342,646,581,1083,959,2851,3647,4.4,12.8,36.1,22.5,10.3,8.3,5.7,13969,784,2045,9.2
